angles,l1,l2,l3,l4,l5,d1,d2,d3,d4,d5
35,0.052,0.058,0.048,0.052,0.042,0.018,0.018,0.017,0.017,0.018
41,0.039,0.036,0.040,0.041,0.045,0.017,0.017,0.018,0.017,0.021
45,0.036,0.033,0.032,0.034,0.034,0.018,0.018,0.016,0.018,0.017
48,0.031,0.032,0.030,0.028,0.028,0.017,0.018,0.017,0.016,0.017
50,0.027,0.028,0.026,0.027,0.025,0.017,0.017,0.017,0.018,0.017
52,0.025,0.025,0.025,0.024,0.026,0.017,0.017,0.017,0.017,0.018
54,0.025,0.023,0.023,0.023,0.024,0.017,0.017,0.017,0.017,0.017
55,0.023,0.023,0.022,0.022,0.023,0.018,0.017,0.017,0.018,0.018
56,0.025,0.022,0.020,0.024,0.023,0.018,0.017,0.017,0.017,0.017
57,0.024,0.023,0.023,0.024,0.024,0.017,0.018,0.017,0.016,0.017
60,0.029,0.028,0.028,0.029,0.029,0.019,0.017,0.018,0.017,0.017
65,0.079,0.074,0.076,0.075,0.077,0.018,0.017,0.017,0.018,0.018
70,0.676,0.609,0.706,0.671,0.750,0.018,0.018,0.019,0.018,0.018
